_id,scientific_name,common_name,date,year,range,description,type,latitude,longitude,latlong,continent,country,size,commonSMame,common_SMme,image
57bbaf7e7f658b5320d3f87d,Tremarctos floridanus,Florida spectacled bear,0001-01-01T00:00:00Z,-8000 BC,USA,-8000 BC,land,40.22,-101.25,"40.22,-101.25",North America,US,LG,,,
57bbaf7e7f658b5320d3f87e,Castoroides leiseyorum Castoroides ohioensis,Giant beaver,0001-01-01T00:00:00Z,-11000 BC,Canada and USA,-11000 BC,land,56.1304,106.347,"56.13,106.347",Europe,RU,MD,,,
57bbaf7e7f658b5320d3f87f,Glyptodon,Glyptodon,0001-01-01T00:00:00Z,-10000 BC,Central America,"Died out toward end of last ice age, approx -10000 BC",reptile,-9.77,-55.603,"-9.77,-55.603",North America,GU,MD,,,
57bbaf7e7f658b5320d3f881,Oreamnos harringtoni,Harrington's mountain goat,0001-01-01T00:00:00Z,-12000 BC,USA and Mexico,-12000 BC,land,28.51,-108.26,"28.51,-108.26",North America,MX,MD,,,
57bbaf7e7f658b5320d3f882,Holmesina septentrionalis,Holmesina septentrionalis -Giant Armadillo,0001-01-01T00:00:00Z,-8000 BC,,"Holmesina individuals were much larger than any modern armadillo: They could reach a length of 2 m, and a weight of 227 kg (500 lbs), while the modern giant armadillo does not attain more than 54 kg (119 lbs).",land,44.22,-93.25,"44.22,-93.25",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f883,Megalonyx,Jefferson's ground sloth,0001-01-01T00:00:00Z,-11000 BC,USA and Canada,-11000 BC,land,56.1304,106.35,"56.13,106.35",Europe,RU,MD,,,
57bbaf7e7f658b5320d3f884,Equus conversidens,Mexican horse,11000-01-01T00:00:00Z,1100,USA and Mexico,--,land,31.51,-106.26,"31.51,-106.26",North America,MX,MD,,,
57bbaf7e7f658b5320d3f886,Neochoerus aesopi,Neochoerus,11000-01-01T00:00:00Z,1100Z,Southeast USA to Panama,--,land,8.91,-82.42,"8.91,-82.42",North America,PA,ZZ,,,
57bbaf7e7f658b5320d3f887,Clidomys osborni,Osborn's key mouse,11000-01-01T00:00:00Z,1100Z,Jamaica,--,land,18.1,-77.29,"18.1,-77.29",North America,JM,SM,,,
57bbaf7e7f658b5320d3f888,Panthera onca augusta,Pleistocene North American jaguar,10001-01-01T00:00:00Z,1000Z,Panama to USA,--,land,8.91,-82.42,"8.91,-82.42",North America,PA,ZZ,,,
57bbaf7e7f658b5320d3f889,Eremotherium laurillardi,Panamerican ground sloth,11000-01-01T00:00:00Z,1100Z,USA to Panama,--,land,8.91,-82.42,"8.91,-82.42",North America,PA,ZZ,,,
57bbaf7e7f658b5320d3f88a,Paramylodon harlani,Paramylodon harlani,0001-01-01T00:00:00Z,-11000 BC,North America,-11000 BC,land,45.22,-92.25,"45.22,-92.25",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f88b,Elasmodontomys obliquus,Plate-toothed giant hutia,0001-01-01T00:00:00Z,-11000 BC,Puerto Rico,-11000 BC,land,18.22,-66.59,"18.22,-66.59",North America,PR,ZZ,,,
57bbaf7e7f658b5320d3f88c,Oregonensis bicalcaratus compressus intermedius,Platygonus,0001-01-01T00:00:00Z,-11000 BC,North America,-11000 BC,land,46.63,-107.75,"46.63,-107.75",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f88d,Mammuthus exilis,Pygmy mammoth,007-01-01T00:00:00Z,-11300 BC,"Channel Islands of California,USA",-11300 BC,land,34.01,-119.78,"34.01,-119.78",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f899,Palaeolama,Stout-legged llama,0001-01-01T00:00:00Z,-11000 BC,USA,-11000 BC,land,64.22,-131.25,"64.22,-131.25",North America,US,ZZ,,,
